State,Abbrev.,Overall Index Score,Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score
Alabama,AL,10.06,49,6.40,14.29,10.00
Alaska,AK,43.66,24,58.10,22.62,50.00
Arizona,AZ,52.05,20,69.72,33.33,50.00
Arkansas,AR,29.49,33,44.56,26.19,10.00
California,CA,85.56,2,70.14,92.86,100.00
Colorado,CO,68.38,9,70.95,64.29,70.00
Connecticut,CT,75.29,7,72.61,75.00,80.00
Delaware,DE,51.09,21,40.24,42.86,80.00
District of Columbia,DC,80.23,4,76.63,70.24,100.00
Florida,FL,37.87,29,37.38,22.62,60.00
Georgia,GA,7.52,50,8.39,11.90,0.00
Hawaii,HI,57.90,19,44.75,57.14,80.00
Idaho,ID,21.44,43,11.94,26.19,30.00
Illinois,IL,67.77,10,63.17,53.57,95.00
Indiana,IN,26.40,36,5.58,26.19,60.00
Iowa,IA,24.95,39,17.57,22.62,40.00
Kansas,KS,18.48,46,4.53,19.05,40.00
Kentucky,KY,26.76,35,12.74,33.33,40.00
Louisiana,LA,22.98,42,8.48,34.52,30.00
Maine,ME,65.57,13,67.06,53.57,80.00
Maryland,MD,63.05,14,60.74,53.57,80.00
Massachusetts,MA,76.36,6,69.02,75.00,90.00
Michigan,MI,36.04,31,38.02,30.95,40.00
Minnesota,MN,58.56,18,53.69,41.67,90.00
Mississippi,MS,7.11,51,5.27,0.00,20.00
Missouri,MO,37.27,30,45.25,19.05,50.00
Montana,MT,42.85,26,49.84,22.62,60.00
Nebraska,NE,43.36,25,28.20,41.67,70.00
Nevada,NV,60.36,16,60.27,53.57,70.00
New Hampshire,NH,41.70,28,20.93,38.10,80.00
New Jersey,NJ,74.77,8,65.04,75.00,90.00
New Mexico,NM,65.64,12,66.20,54.76,80.00
New York,NY,79.31,5,67.02,78.57,100.00
North Carolina,NC,4.55,52,4.09,8.33,0.00
North Dakota,ND,24.12,40,18.63,26.19,30.00
Ohio,OH,49.09,23,40.44,26.19,95.00
Oklahoma,OK,18.80,45,8.45,22.62,30.00
Oregon,OR,86.72,1,69.93,96.43,100.00
Pennsylvania,PA,33.42,32,13.76,22.62,80.00
Puerto Rico,PR,59.30,17,38.87,67.86,80.00
Rhode Island,RI,60.66,15,51.65,57.14,80.00
South Carolina,SC,12.51,47,2.11,33.33,0.00
South Dakota,SD,42.23,27,60.78,22.62,40.00
Tennessee,TN,23.12,41,9.87,33.33,30.00
Texas,TX,11.56,48,12.24,19.05,0.00
Utah,UT,18.94,44,8.82,29.76,20.00
Vermont,VT,66.73,11,60.58,57.14,90.00
Virginia,VA,49.62,22,40.71,48.81,65.00
Washington,WA,83.33,3,89.57,78.57,80.00
West Virginia,WV,29.35,34,34.84,29.76,20.00
Wisconsin,WI,25.08,38,17.92,22.62,40.00
Wyoming,WY,25.43,37,21.91,19.05,40.00
